SpatialDimensionValueCode,TimeDim,NumericValue
BHS,2017,3.64566
BHS,2018,3.44933
BHS,2019,3.60855
BHS,2020,3.10471
BHS,2021,3.25253
BIH,2000,10.98351
BIH,2001,10.81049
BIH,2002,10.83387
BIH,2003,10.57336
BIH,2004,10.45641
BIH,2005,10.83119
BIH,2006,10.69204
BIH,2007,11.47947
BIH,2008,10.78334
BIH,2009,10.73002
BIH,2010,10.46903
BIH,2011,10.52957
BIH,2012,10.26167
BIH,2013,10.53006
BIH,2014,10.39695
BIH,2015,10.62754
BIH,2016,10.52472
BIH,2017,10.50516
BIH,2018,10.40443
BIH,2019,10.90849
BIH,2020,9.76505
BIH,2021,8.97169
BLR,2000,39.50342
BLR,2001,39.31091
BLR,2002,40.31967
BLR,2003,40.28691
BLR,2004,40.36923
BLR,2005,40.51841
BLR,2006,37.47523
BLR,2007,34.04988
BLR,2008,36.28929
BLR,2009,36.37466
BLR,2010,34.16435
BLR,2011,34.48311
BLR,2012,28.49462
BLR,2013,25.51476
BLR,2014,23.6081
BLR,2015,21.91611
BLR,2016,20.88461
BLR,2017,18.95358
BLR,2018,18.66783
BLR,2019,17.52073
BLR,2020,16.27145
BLR,2021,15.61154
BLZ,2000,6.64297
BLZ,2001,5.53174
BLZ,2002,5.31765
BLZ,2003,5.53023
BLZ,2004,6.18588
BLZ,2005,4.91739
BLZ,2006,5.00569
BLZ,2007,4.58535
BLZ,2008,4.61415
BLZ,2009,5.87301
BLZ,2010,6.44526
BLZ,2011,6.74998
BLZ,2012,6.45533
BLZ,2013,6.2561
BLZ,2014,5.8434
BLZ,2015,5.71498
BLZ,2016,5.44839
BLZ,2017,6.25002
BLZ,2018,5.5768
BLZ,2019,5.02205
BLZ,2020,3.70021
BLZ,2021,4.17652
BOL,2000,6.54238
BOL,2001,6.47186
BOL,2002,6.48055
BOL,2003,6.40855
BOL,2004,6.36538
BOL,2005,6.32857
BOL,2006,6.10119
BOL,2007,6.12492
BOL,2008,6.00492
BOL,2009,5.94043
BOL,2010,5.75778
BOL,2011,5.68198
BOL,2012,5.43155
BOL,2013,5.41439
BOL,2014,5.49088
BOL,2015,5.5943
BOL,2016,5.58206
BOL,2017,5.53512
BOL,2018,5.40646
BOL,2019,5.3483
BOL,2020,4.791
BOL,2021,4.19678
BRA,2000,4.22831
BRA,2001,4.70076
BRA,2002,4.64604
BRA,2003,4.65462
BRA,2004,4.74457
BRA,2005,4.98688
BRA,2006,4.97019
BRA,2007,5.17613
BRA,2008,5.4103
BRA,2009,5.41602
BRA,2010,5.24882
BRA,2011,5.47578
BRA,2012,5.63524
BRA,2013,5.79022
BRA,2014,5.84628
BRA,2015,6.10835
BRA,2016,6.24754
BRA,2017,6.88701
BRA,2018,6.67905
BRA,2019,6.70782
BRA,2020,6.93194
BRA,2021,7.59403
BRB,2000,5.20142
BRB,2001,4.71741
BRB,2002,4.36062
BRB,2003,4.91889
BRB,2004,5.10222
BRB,2005,5.12489
BRB,2006,4.89508
BRB,2007,4.38778
BRB,2008,4.58142
BRB,2009,4.31583
BRB,2010,4.37445
BRB,2011,4.28669
BRB,2012,3.90596
BRB,2013,4.13398
BRB,2014,4.29346
BRB,2015,4.04665
BRB,2016,4.45293
BRB,2017,3.90486
BRB,2018,4.13796
BRB,2019,4.79828
BRB,2020,4.1366
BRB,2021,3.5031
BRN,2000,1.53023
BRN,2001,1.10143
BRN,2002,1.33427
BRN,2003,1.36425
BRN,2004,1.68911
BRN,2005,1.79899
BRN,2006,2.32517
BRN,2007,1.99033
BRN,2008,1.63862
BRN,2009,1.32494
BRN,2010,1.05052
BRN,2011,1.42276
BRN,2012,1.61254
BRN,2013,1.31008
BRN,2014,1.32003
BRN,2015,1.37039
BRN,2016,2.03629
BRN,2017,2.47783
BRN,2018,2.72247
BRN,2019,2.49215
BRN,2020,2.93366
BRN,2021,3.04717
BTN,2000,5.70257
BTN,2001,5.76235
BTN,2002,5.63214
BTN,2003,5.93237
BTN,2004,5.88079
BTN,2005,5.82788
BTN,2006,5.78661
BTN,2007,5.65076
BTN,2008,5.56103
BTN,2009,5.39225
BTN,2010,5.15422
BTN,2011,5.09801
BTN,2012,5.18101
BTN,2013,5.33471
BTN,2014,5.43903
BTN,2015,5.30101
BTN,2016,5.24362
BTN,2017,5.33831
BTN,2018,5.01739
BTN,2019,4.84207
BTN,2020,5.07683
BTN,2021,4.90384
BWA,2000,12.08191
BWA,2001,11.75553
BWA,2002,12.04675
BWA,2003,11.1562
BWA,2004,9.9265
BWA,2005,9.37772
BWA,2006,9.06527
BWA,2007,11.48459
BWA,2008,15.11223
BWA,2009,16.68243
BWA,2010,16.46464
BWA,2011,15.36643
BWA,2012,15.03075
BWA,2013,14.09657
BWA,2014,12.80985
BWA,2015,11.06238
BWA,2016,11.01005
BWA,2017,10.76394
BWA,2018,9.8158
BWA,2019,8.98617
BWA,2020,8.90835
BWA,2021,8.35228
CAF,2000,12.60821
CAF,2001,12.01677
CAF,2002,12.2038
CAF,2003,11.32143
CAF,2004,11.43077
CAF,2005,10.74745
CAF,2006,11.29942
CAF,2007,11.01706
CAF,2008,10.4394
CAF,2009,10.65996
CAF,2010,10.23942
