SpatialDimensionValueCode,TimeDim,NumericValue
RWA,2009,7.66386
NPL,2002,9.48113
LTU,2001,47.386
GAB,2015,9.69019
SLV,2007,8.94747
FRA,2000,20.31598
GIN,2003,4.49533
MKD,2018,5.45782
FRA,2011,18.04467
PRI,2021,5.42161
KOR,2015,28.22538
BWA,2004,9.9265
NLD,2016,11.83357
CHN,2011,9.97236
WB_HI,2009,17.17466
DOM,2006,4.26687
THA,2013,9.5644
GNB,2013,7.03011
IDN,2007,1.93755
MOZ,2008,8.12136
BLZ,2017,6.25002
BHR,2008,6.7899
EMR,2004,4.53013
GEO,2014,5.45763
TCD,2016,5.09091
VUT,2012,17.22586
MYS,2008,4.27854
LAO,2012,4.80878
CRI,2009,5.51308
LBR,2011,6.13353
PRT,2014,14.23242
WB_LMI,2018,9.56296
MNG,2013,19.42509
GRD,2016,0.85185
HTI,2007,7.82857
BRB,2019,4.79828
BRA,2020,6.93194
AUT,2012,16.16859
ARM,2009,4.74026
PNG,2007,1.65152
EST,2020,17.53942
JOR,2018,0.76084
NLD,2010,9.8338
ROU,2020,9.74429
VNM,2008,6.64656
HND,2008,3.15781
ZMB,2021,7.12591
BRB,2003,4.91889
KWT,2006,2.77227
DZA,2008,2.89893
FJI,2013,10.0161
ITA,2004,7.21857
BRB,2004,5.10222
PSE,2002,0.6619
SLB,2013,20.6249
COG,2021,6.7126
MRT,2019,2.7497
EST,2004,25.5467
NZL,2018,11.73025
ARM,2014,6.3587
CMR,2012,8.31613
BEL,2000,22.06645
BEL,2011,21.21335
VUT,2007,17.29628
USA,2003,11.76274
SYC,2007,7.16924
DZA,2012,2.36058
NZL,2020,11.34768
KAZ,2021,14.5977
COM,2021,5.9983
TUR,2019,3.53792
SLB,2018,20.58612
HND,2015,6.50331
AUS,2016,12.5032
MNG,2001,16.20293
LTU,2015,34.49336
WSM,2010,11.43225
EMR,2012,4.07839
SDN,2018,3.52787
DNK,2016,10.81534
ZMB,2010,6.00275
KHM,2005,4.29602
MDG,2017,5.88353
GIN,2002,4.4245
JOR,2017,0.789
TCD,2000,5.2996
SDN,2009,3.77582
GNQ,2002,7.79946
ISL,2010,12.93827
ZAF,2005,15.63631
NER,2009,4.06219
LCA,2015,7.71562
LBY,2011,6.55494
TZA,2018,4.2486
GUY,2012,30.78425
SRB,2020,15.60946
GHA,2012,5.37225
RUS,2018,25.89874
GRC,2003,3.2972
WPR,2001,14.36713
HTI,2004,7.81945
FSM,2004,21.89443
PSE,2003,0.63688
HRV,2001,19.56753
GAB,2013,8.8181
COL,2014,3.79913
KIR,2009,20.41029
SLV,2010,8.18308
CIV,2021,7.39131
AFG,2006,4.01697
VNM,2016,7.60317
EMR,2002,4.6535
MDA,2000,19.1606
PNG,2010,1.70535
SOM,2001,8.59019
ETH,2017,5.36654
CZE,2001,16.1834
BGR,2003,14.9748
IRL,2009,14.03496
CRI,2007,5.49687
CAN,2012,12.59646
MNG,2011,22.16592
GTM,2013,4.92547
LSO,2002,12.62254
WB_UMI,2005,10.80574
NAM,2018,8.27959
SSD,2018,6.65402
EGY,2003,0.94514
TUN,2005,3.05492
CMR,2015,8.4498
AUT,2010,16.05188
CHN,2005,14.22575
TGO,2004,8.78316
IRL,2021,8.54697
KHM,2002,3.90372
MNE,2015,12.95542
WPR,2014,9.70759
PAK,2016,6.38881
AUS,2011,11.56907
GAB,2017,9.27929
PHL,2003,2.23925
EST,2000,29.27199
ESP,2004,8.46393
WB_HI,2019,14.49539
WB_HI,2003,18.70265
